a	pos	oh!	"particle; expresses surprise; a, taawa ‘oh, there it is’; a, ima aviituq ‘oh, it's not there anymore’"
aa1	pos	darn!	particle; pronounced with breathy voice to indicate exasperation
"aa2, aa-a"	pos	yes	particle; an expression of approval or agreement; aanaqsiin? ‘are you going out?’ -- aa ‘yes’
aafkagh-	pos	to burst	"aafkaghtuq ‘it burst’; aafkaghaa ‘he burst it’ / Maalghuk ighuk ugugnaghaam ighukek neghumakek. Taagken aghnam pimakanga, aqsanga kenegraamaan, ""Kaay aqsan aafkaghllequq."" ‘He ate two legs, hind-quarters of the shrew. Then the woman said to him, while poking at his stomach, “Hey, your stomach will burst.” (UNGIPAGHAGH. 80)"
aafkaneghlluk	pos	durable material that will not burst	No information given.
aafqugh-	pos	to set things aside; to divide things into groups	No information given.
aafte-	pos	to separate from others	"aaftuq ‘he separated himself from the others’; aaftaa ‘he separated it from the others, took it from where it was, put it aside’ / aafutut ‘they separated from each other’; = afte-"
aag-	pos	to take a side trip	"aagtuq ‘he made a side trip’; aagaa ‘he went over to it while on his way to somewhere else’ / aagvik ‘the place to which one makes a side trip’; Sangwaa taakwagun aagaqegkan, tuqutaqigu. ‘If something happens to come by  this way, kill it.’ (UNGAZ. UNGIP. 62)"
aaga-	pos	to swing	"aagaaq ‘it swung’ / aagastaa ‘he made it swing’, ‘he pushed her on the swing’; Aagastaqa qevulliighaatekestaamaan aagalghiinaakun. ‘I began to push her on the swing a little more with each back and forth swinging motion.’ (SULUWET 16)"
aageste- 	pos	to prolong one's action for a long time; to moan long and mournfully 	"aagestuq ‘he let out a long moan or kept his action going for a long time’ / qinuyulghii aagestaataghtuq unulqusiq elngaatall ‘the sick one let out long painful cries throughout the night’; mekelghiighhaq aagestaataghtuq qiyatkelluku ‘the little boy prolonged his wailing as he cried’; qepghallghegni aaghestaak yugem taawa ‘oh my, the man is keeping at his work for as long as he can’"
aaggaatae	pos	whetstone; sharpening stone	No information given.
aaggagh-	pos	to sharpen; to whet	No information given.
aaggnaqe-	pos	to use sparingly; to economize	No information given.
aaghhaghte-	pos	to move a little by force; to budge; to change one's mind; for there to be an earthquake	"aaghhaghtuq ‘it budged, he changed his mind’; aaghhaghtaa ‘he budged it, he changed her mind’ / nuna aaghhaghtuq ‘the ground moved, there was an earthquake’; nguutnguga alangqughiitama aaghhaghluku ilefkaghaghsimaaqa ‘I made the stone in my ring come loose and fall out’; aaghhaghsaghqaghhaanghilnguq yuuk qenwatlu taawa malikruutesimaat ‘they finally persuaded that very stubborn man to go along with their ideas’"
aaghhe-	pos	"to move freely (as a rope being pulled, or a person's behavior); to slacken"	aaghhuq ‘it (rope) is running free; he (person) is not being restrained nor restraining himself’ / aaghhestaa ‘he is letting it run free’; aaghhestaa uyiiq aghveq awatmun igleghsan ‘he let the whale rope flow out as the whale moved away’; aaghhuq yuuk taana qepghaqamini avelghaqiinaghluki ilani piyukellghinaghmitun ‘that man is getting away with doing whatever he wishes with complete disregard for his co-workers’; aaghhestaat taana taghnughhaq elngaatall ‘they certainly are giving that child free rein’
aaghheghneq	pos	person that can easily be persuaded	No information given.
aaghhneghlliqe-	pos	to be stubborn	Tawaten ataasimi aghneghmi Kiiluuq aaghhneghlliqumalghii esnamun samavek elqwaaghyaghnaluni.’ Then one day Kiiluuq being stubborn went down to the shore to gather seaweed.’ (KIILUUQ 3)
aaghhneghlluk	pos	one who is hard to convince; stubborn person; skeptical person	No information given.
aaghhutagh-	pos	to move by crawling over thin ice	piyaalghii iikusati aaghhutameng aghviimalghii ‘the man who was hunting by foot crossed by drawling  over the thing ice when the cake of ice he was on broke off from the main ice
aaghhwe-	pos	to crawl	"aaghhuq or aaghhwuq ‘he crawled’; aaghhwaa ‘he crawled over it’ / aaghhwaaghtuq ‘he keeps crawling’; Repall atanga aaghhweregaghmeng aanumalghii, llangaqa pingayuneng ighukelghii. ‘The father went out crawling, looking like he had three legs.’ (UNGIPAGHAGH. 72)"
aaghlu	pos	fireball of some sort coming down from mountains (perhaps meteor or comet)	traditionally thought to be connected with a creature dwelling in the rocks behind Gambell; the color is said to be prophetic
aaghqaghte-1	pos	to take a route different from usual; to detour; to avoid; to evade; to put rope around or across something	aaghqaghtuq ‘he went a different way’; aaghqaghtaa ‘he didn’t stop at it’ / taagagun aaghqaghsimaaq ‘he went by the far side instead’; aaghqaghtaa tapghaq ‘he put the rope around that part’
aaghqaghte-2	pos	to urge; to encourage	aaghqaghtuq ‘he went a different way’; aaghqaghtaa ‘he didn’t stop at it’ / taagagun aaghqaghsimaaq ‘he went by the far side instead’; aaghqaghtaa tapghaq ‘he put the rope around that part’
aaghqutaate-	pos	to detour; to decide for someone without giving him a say	aaghqutaatestegpenasi seghletun pinaqelghiinun ‘don't let them tell you what to do when they are doing wrong’
aaghqutaq	pos	a certain ball game	Chukotkan; called kalleghta by most people on St. Lawrence Island
aaghqute-	pos	to comply with the wishes of another	aaghqutaa ‘he did as she wanted’ /
aaghsi	pos	thong holding shank (giimaq) to harpoon shaft	#NAME?
aaghte-1	pos	to move a little; to budge; to change one's mind; for there to be an earthquake	No information given.
aaghte-2	pos	to convince	aaghtaa ‘he convinced her’/
aaghtiiraagh-	pos	to argue	No information given.
aaghw-	pos	upside down	postural root; aaghwtuq ‘it turned upside down’; aaghwtaa ‘he turned it upside down’; aaghwngaaq ‘it is upside down’; qayuutat ayumiq aaghwtaaghtestesnanighaqiit ‘long ago they discouraged people from leaving wooden platters upside down’ (probably a superstition)
aaghwqe-	pos	to get bloody	aaghwquq ‘he got bloody’; aaghwqaa ‘he got it bloody’ /
aaghwtaq	pos	tent with a arched roof; wooden house type with arched roof covered with hide	"Chukotkan (R, V&E)"
aagna	pos	that one over there; that one going away	"extended demonstrative pronoun; base: ag-; localis singular pronoun: agum ‘at the one over there’; vocative singular:  aagyuq ‘you, going away’; absolutive/relative plural pronoun: aagkut ‘those over there’; anaphoric abs. sing. pronoun: taagna ‘that one over there’; adverbial particle: aga ‘over there!’; localis adverb: agani ‘over there’; terminalis adverb: agavek ‘to over there’; vialis adverb: aaggun ‘through over there’; ablative adverb: aagken ‘from over there’; anaphoric adverbial particle: taaga ‘there, over there!’; aagna qilaga pinipigta ‘how nice the sky looks over there!’; aagna uyavaq meq imaghllugituq taaga ‘the sea farther up beyond us is not rough at all’; aagna yuuk angvigapigta ‘how tall that person who is going away is!’; aagna igleghlleghhii qemimelnguq yugaa? ‘is that thing moving up on that hill a person?’"
aagneghaghte-	pos	to split at the crotch	aagneghaghtuk ‘they2 (pants) split at the crotch’; aagneghaghtaak ‘he split them2 at the crotch’ /
aagneghtu-	pos	to have long steps; to have a long stride	No information given.
aagneq	pos	crotch of pants; one pace; one step	"used in the dual, aagneghek, for one crotch"
aagra	pos	"insulated inner room of the traditional dome-shaped house, the mangteghapik (q.v.)"	"Aagram ilungi puqlaghllagulghiit, aghnat ilungani raarwiighesnaghluteng ayuqelghiit sungighluteng, tangyeghusighluteng, tukughusighluteng. ‘Because inside the inner room women are quite warm they wear only underwear plus beads, bracelets and anklets.’ (SIVUQ. NANGAGH. 1:33); aagra is termed polog ‘bed canopy’ in Russian"
aagralghun	pos	"guyline at corner of the aagra, the insulated inner room of traditional dome-shaped house"	No information given.
aagriin	pos	"ridgepole supporting the aagra, the insulatedinner room of traditional dome-shaped house"	No information given.
aagtagh-	pos	to shoot at even though from a distance	neghsaq nuulghii aatak aagtaghyaghaqa ‘I tried shooting at the seal even though it was far away’
aagte-1	pos	to prolong one's action	= aageste-
aagte-2	pos	to stumble; to trip	= naagte-
aagte-3	pos	to keep something secret; to let something pass without mentioning it	No information given.
aagute-	pos	to bump into something; to make a side trip for (it)	"aagutuq ‘he bumped into something’; aagutaa ‘he bumped into it’, ‘he made a side trip for it’ /"
aagyug-	pos	No information given.	"root: > aagyugneq, aagyugniqe-, aagyugteste-"
aagyugneq	pos	persistent person	aagyugneghutmineng qepghaqanguq ‘he landed himself a job due to his being a persistent person’
aagyugniqe-	pos	to be stubborn or persistent	No information given.
aagyugteste-	pos	to make (him) stubborn; to provoke	ugumiyugsaghluku milughmilghii aagyugtestaa ‘he provoked him so he continued to throw rocks’
aagyugutke-	pos	to pick on	aagyugutkaa ‘he picked on him’ / alingtalghii aagyugutkaat alingseghaghaqluku ‘they picked on the person who is easily frightened by trying to scare him’
aahaaleketiiq	pos	a game involving coiled lines drawn on the ground which one follows from the outside inward as a particular song is sung	No information given.
aahaangwliq	pos	oldsquaw duck (Clangula hyemalis); the cry of the oldsquaw	"the true name of the oldsquaw is said to be kangghwaak, while the present word is a sort of nickname based on the cry of the oldsquaw"
aakaq*	pos	older sister of female	No information given.
aakw	pos	blood	"aawa ‘his blood’, aakwa ‘my blood’; aawuuq ‘it is blood’; see also aaw- ‘to bleed’"
aakwrak	pos	small spot or streak of blood	No information given.
aalghaq	pos	another family in the same clan; the other of a pair of boats cooperating in a hunt; hunting partner; second wife	No information given.
Aallgha aghneq	pos	Monday	the name comes from Monday being the second day of the week
aallgutaq	pos	broom; besom; wing of bird used as a broom	Chukotkan (R); may be used in the plural for a single broom
aallneq	pos	ember; soot with grease from an oil lamp	No information given.
aallngunaan	pos	without a partner	irregular subordinative of aallghite- (rather than aallghinaan or aallghunaan)
aalma	pos	block of snow to be used in a heated house	perhaps to cool the house (?)
aalqullghiik	pos	pair; couple; person and companion	No information given.
aam	pos	"hesitation sound like English ""aah"" or ""um"""	particle
aamak	pos	a kind of berry	exact identification undetermined
aamna	pos	that one over there; the one across the sea; that one on the other side of something; that one over the mountains; that one in the other room	"obscured demonstrative pronoun; base: am-; localis singular pronoun: amumi ‘in the one on the other side’; vocative singular: aamyuq ‘you, on the other side’; absolutive/relative plural pronoun: aamkut ‘those on the other side’; anaphoric abs. sing. pronoun: taamna ‘that one on the other side’; adverbial particle: ama ‘over there (on the other side)!’; localis adverb: amani ‘on the other side’; terminalis adverb: amavek ‘to the other side’; vialis adverb: amagun or aamggun ‘through the other side’; ablative adverb: amaken or aamken ‘from the other side’; anaphoric adverbial particle: taama ‘there, on the other side!’"
aamqun	pos	welt put in between the boot sole and the upper on a skin-boot	Aamqutnguut nateghqamllu amiiramllu akulanganilnguut …. ‘There was a welt [put] between the sole and upper [of the boot] ….’ (SIVUQ. NANGAGH. 1:114) 
aamta	pos	as we know from our experience; as we well understand	"particle; aamta ellngitlu aghneghmi amighinaqaqeftut whangkutestun ‘they are putting a skin on their boat today just as we are’; aamta ellngitlu seghleliightut taawa ‘oh, they are grieving greatly (a feeling we understand all too well)’; Mekelghiighuluteng, apangiighhaghputlu aagna, apangiighhaghputlu aamta entaqun seghleghllugumayaghtuq.  ‘Being boys, our little grandfather too, that one, our little grandfather also, as we know maybe he would try to be bad (be mischievous).’ (SIVUQ. NANGAGH. 2:24)"
aamtaam	pos	if that can't be; if that isn't so; if that is so; that being the case	"particle; tawani tagilghaaten utaqanaaghamken taawanginaq enkaam aamtaam pipagningiskuvek ungipaannakevnga kitukun ‘come at that time and I'll wait for you, but if you can't, let me know through someone’; tagilghaaten, aamtaam wiin piyunghilkuvek taginghisaghngaaghpek ‘do come over, but if you don't want to, then don't’; taginghisaghngaaghpek aamtaam tagiyukuvek tagilghaaten ‘you don't have to come, but if you want to come, then come’; Aamtaam eltughaanka pillgitngwaaghtut. ‘That being so, my grandchildren treasure the things they have.’ (Sivuq. Nangagh. 3:94); Taawanginaq whanganginanghitunga, anengalguunga. Aamtaam ighlekegkaanganga ugiighnaanghitunga. Aamtaam aangqanganga ugiighllequnga. ‘It’s not only me, I have an older brother. That being the case, if he doesn’t let me I won’t marry you. That being the case, if he does agree I will marry you.’ (UNGIPAGHAGH. 20)"
aamtawha	pos	maybe; probably; trying fruitlessly	particle; aamtawha kiigunneghatni quugmeng suyvaghtuq imawha uksungani naangut ‘he would try to gather enough wood during the summer but would run out in the winter’
aamtayaghhaq	pos	how well we know	"particle, like aamta (q.v.) but stronger"
aane-	pos	to go out(side)	aanuq ‘he went out’; aanaa ‘he went out of it or went out through it / aanutaa he took it out’
aanelgun	pos	littermate; one born at the same time; a person's contemporary	No information given.
aanesqe-	pos	to drive out; to expel; to force somebody to leave	Chukotkan (R)
aanestaghagh-	pos	to press or squeeze out; to put or thrust out	Chukotkan (R)
aangaayugte-	pos	to act as if superior to others; to put on airs; to act conceited	No information given.
aange-	pos	to be big; to be large	aanguq ‘it is big’
aangeghllak	pos	big thing; large thing	No information given.
aanghuute-	pos	to spark as from friction; to make sparks	aanghuutuq ‘it made sparks’ / Uyghagami qamiyegka aanghuutuk igleghsama.’ My sled made sparks as I was going over the rocks.’ (SLI JR. DICT. 5)
aangqagh-	pos	to play ball	No information given.
Aangqaghvik	pos	June; July	No information given.
aangqanneq	pos	traditional ball game	Chukotkan (V&E)
aangqaq	pos	ball	No information given.
"aangqasiigh-, aangqasi-"	pos	"to get ready to throw a ball; to ""wind up"""	No information given.
aangqengwaaq	pos	small rattle	Chukotkan (R)
aangwaagh-	pos	"to be rather big,  big enough"	Chukotkan (R)
aangwunani	pos	"(he, she or it) being bloodless"	No information given.
aanighte-	pos	to concentrate thought and action on what one is doing	aanightuq ‘he is concentrating on what he is doing’ / aanighutaa ‘he is concentrating on it’; cf. anighte-
aanleghaate-	pos	to leave a building; to rise to the surface	Chukotkan (R)
aanleghagh-	pos	to seep out; to flow out	aanleghaghtuq ‘it seeped out’ / Kagimkaq qantamineng aanleghaghtuq reghilleghqun. ‘Sugar is leaking out of the its container through a hole.’ (SLI JR. DICT. 5)
aanngerquq	pos	ankle bone	Chukotkan;  = angangarquq
aanqaghneq	pos	bulge; protrusion	No information given.
aanqaghreki	pos	the number three (in a counting or finger naming jingle for children)	"cf. aangqaq; the entire jingle is: aatati, pututati, aanqaghreki, tekiina, kumlu, aasi, taawra, qilughru, milughru, qughru 'one, two, three, four, five, six, seven, eight, nine, ten'"
aanqaghte-	pos	to rush out; to protrude; to bulge	"aanqaghtuq ‘he rushed out’, ‘it protruded’ /"
aanqaghtivike-	pos	to hit accidentally as with a stone from a sling	Chukotkan (R)
aanqulleq	pos	manure	Chukotkan (R)
aanqutagh-	pos	to lead singing	No information given.
aanqute-	pos	to start singing or speaking	"aanqutaa ‘he began (to say, sing) i’t / aanqutiiq ‘he began to sing’; yugem aanqutisaghaanga kaallunga ‘the man began to say something as he reached me’; Ellngan quunpeng aanqutaqii atuutet atulghiini. ‘He always starts the songs for the singers.’ (SLI JR. DICT. 6); cf. aane-"
aantaq	pos	midden; dump	"may be used in the plural, aantat, for one midden"
aante-	pos	to to take out; to bring out; to put out; to give birth to	aantaa ‘he brought it out’ / aantiiq ‘he took something out (particularly a commode for dumping)’; pegnem aantaa ighneni ‘she had a difficult time giving birth to her son’
aanvik	pos	outlet; exit	No information given.
aanyaghagh-	pos	to go out early	No information given.
aanyaghaq1	pos	"first one out; first-born child; man who goes outside the first (in the morning); first letter of word, initial"	No information given.
aanyaghaq2	pos	exit; the way out; outlet	"also used in the dual, aanyaghak, for one exit or outlet; qaltak aanyaghametuk ‘the bucket is by the exit; kiiwem aanyaghakek uusqaghtuk ‘the water is deep around the outlet of the river’"
aanziigh-	pos	to burp; to belch	"aanziightuq ‘he burped’; Aanziighllagyalghiimi sayalghiimi, mighyaghllagyalghiimi taghnughhaam akileghteghllagluku, qiyateghllaget. ‘When it (the creature) belched, doubled over, and threw up violently, the children tumbled out from it crying loudly.’ (SIVUQ. NANGAGH. 3:174)"
aanziiq	pos	a burp; a belch	No information given.
aapghun	pos	object which is to be sacrificed; prediction	Chukotkan (R)
aapte-	pos	to ask	aaptuq ‘he asked’; aaptaa ‘he asked her’ /
aapute-	pos	to ask permission; to ask concerning someone or something	"aaputuq ‘he asked for permission’; aaputaa ‘he asked her for permission’; Ungazighmiit aaputaqut ellmengllu Arctic Ocean-mun pinaluteng. ‘The Siberians would ask permission (to join), wanting to go to the Arctic Ocean.’ (SIVUQ. NANGAGH. 3:118)"
aaqun	pos	almost	"particle; yuuk sikugni piyugluni aaqun meghquutkaaguq ‘a man walking on the ice practically fell into the water’; Taana ivenrumeng kaatevzighaghput, aaqun kaasimaaghput iitek. ‘We almost reached that one with the outboarrd motor; almost, we got to it, indeed.’ (SIVUQ. NANGAGH. 2:34)"
aaqunqun	pos	try it anyway; dare	particle
aarragh-	pos	to dress in fancy clothes	aarraghtuq ‘he dressed up’; aarraghaa ‘he dressed her up’ ;  Elngaatall siivanlleq tamaana aarraatesluku. ‘They brought the elder(s) there all dressed up.’ (SIVUQ. NANGAGH. 2:210); Aarraatkaq igaqraghllagmeng tawaten pinighrakegtepiglluku ulimalluteng. ‘everyone got all dressed up in clothing which they made as fancy as possible.’ (SIVUQ. NANGAGH. 3:86)
aas-	pos	No information given.	"dimensional root; > aastu-, aaskestaaghhaq"
Aasa	pos	Singikpak Pt. site east of Southwest Cape on St. Lawrence Is.	see Map 4 in Appendices
Aasaq	pos	former village site west of Cape Chukotskii in Chukotka	see Map 2 in Appendices
aasi	pos	the number six (in a counting or finger naming jingle for children)	"the entire jingle is: aatati, pututati, aanqaghreki, tekiina, kumlu, aasi, taawra, qilughru, milughru, qughru 'one, two, three, four, five, six, seven, eight, nine, ten'"
